# File Name                             Expansion   Class Type   Class Name            Card Name                       Card #   Printflag
rv-aster-trait-back.png,                core,       apex,        aster,                aster trait back,               c-###,   2
rv-partial-derivative.png,              xulc,       apex,        kataphatist,          partial derivative,             c-152,   1
rv-polynomial-expression.png,           xulc,       apex,        kataphatist,          polynomial expression,          c-153,   1
rv-undefined-variable.png,              xulc,       apex,        kataphatist,          undefined variable,             c-154,   1
rv-gripping-despair.png,                xulc,       prime,       keening-bolt,         gripping despair,               c-145,   1
rv-keening-bolt-trait-back.png,         xulc,       prime,       keening-bolt,         keening bolt trait back,        c-###,   2
rv-lost-hope.png,                       xulc,       prime,       keening-bolt,         lost hope,                      c-143,   1
rv-sap-will.png,                        xulc,       prime,       keening-bolt,         sap will,                       c-144,   1
rv-aeroelastic.png,                     xulc,       prime,       mistral,              aeroelastic,                    c-137,   1
rv-electrostatic.png,                   xulc,       prime,       mistral,              electrostatic,                  c-138,   1
rv-mistral-trait-back.png,              xulc,       prime,       mistral,              mistral trait back,             c-###,   2
rv-tropistic.png,                       xulc,       prime,       mistral,              tropistic,                      c-139,   1
rv-atmospheric-conditioning.png,        xulc,       apex,        tempest,              atmospheric conditioning,       c-140,   1
rv-eye-of-the-storm.png,                xulc,       apex,        tempest,              eye of the storm,               c-141,   1
rv-shockwave-propagation.png,           xulc,       apex,        tempest,              shockwave propagation,          c-142,   1
rv-tempest-trait-back.png,              xulc,       apex,        tempest,              tempest trait back,             c-###,   2
rv-hungering-cold.png,                  xulc,       apex,        vesper-sharpshot,     hungering cold,                 c-148,   1
rv-hunters-instinct.png,                xulc,       apex,        vesper-sharpshot,     hunter's instinct,              c-147,   1
rv-meltwater-spring.png,                xulc,       apex,        vesper-sharpshot,     meltwater spring,               c-146,   1
rv-vesper-sharpshot-trait-back.png,     xulc,       apex,        vesper-sharpshot,     vesper sharpshot trait back,    c-###,   2
rv-positive-affirmation.png,            xulc,       apex,        wellspring-ewer,      positive affirmation,           c-134,   1
rv-scalding-shower.png,                 xulc,       apex,        wellspring-ewer,      scalding shower,                c-136,   1
rv-soothing-shower.png,                 xulc,       apex,        wellspring-ewer,      soothing shower,                c-135,   1
rv-wellspring-ewer-trait-back.png,      xulc,       apex,        wellspring-ewer,      wellspring ewer trait back,     c-###,   2
rv-exoskeletal-development.png,         xulc,       apex,        zero-sum,             exoskeletal development,        c-159,   1
rv-fine-print.png,                      xulc,       apex,        zero-sum,             fine print,                     c-160,   1
rv-shrewd-negotiator.png,               xulc,       apex,        zero-sum,             shrewd negotiator,              c-158,   1
rv-zero-sum-trait-back.png,             xulc,       apex,        zero-sum,             zero sum trait back,            c-###,   2
