# File Name                               Expansion   Class Type   Class Name            Card Name                         Card #   Printflag
rv-aster-ability-back.png,                core,       apex,        aster,                aster ability back,               c-###,   1
rv-hissing-skitter.png,                   xulc,       prime,       fierce-ransomer,      hissing skitter,                  c-094,   1
rv-over-stock.png,                        xulc,       prime,       fierce-ransomer,      over stock,                       c-093,   1
rv-send-then-receive.png,                 xulc,       prime,       fierce-ransomer,      send then receive,                c-096,   1
rv-sting-then-strike.png,                 xulc,       prime,       fierce-ransomer,      sting then strike,                c-095,   1
rv-barter.png,                            xulc,       prime,       fountain-caller,      barter,                           c-062,   1
rv-fountain-caller-ability-back.png,      xulc,       prime,       fountain-caller,      fountain caller ability back,     c-###,   1
rv-rapid-erosion.png,                     xulc,       prime,       fountain-caller,      rapid erosion,                    c-063,   1
rv-resplendent-plumage.png,               xulc,       prime,       fountain-caller,      resplendent plumage,              c-064,   1
rv-water-stride.png,                      xulc,       prime,       fountain-caller,      water stride,                     c-061,   1
rv-beset-with-choice.png,                 xulc,       apex,        kataphatist,          beset with choice,                c-091,   1
rv-inspire.png,                           xulc,       apex,        kataphatist,          inspire,                          c-090,   1
rv-kataphatist-ability-back.png,          xulc,       apex,        kataphatist,          kataphatist ability back,         c-###,   1
rv-manifest.png,                          xulc,       apex,        kataphatist,          manifest,                         c-092,   1
rv-skip-vault.png,                        xulc,       apex,        kataphatist,          skip vault,                       c-089,   1
rv-brace.png,                             xulc,       prime,       keening-bolt,         brace,                            c-078,   1
rv-cleanly-reknit.png,                    xulc,       prime,       keening-bolt,         cleanly reknit,                   c-080,   1
rv-keening-bolt-ability-back.png,         xulc,       prime,       keening-bolt,         keening bolt ability back,        c-###,   1
rv-numbing-ambush.png,                    xulc,       prime,       keening-bolt,         numbing ambush,                   c-079,   1
rv-pounce.png,                            xulc,       prime,       keening-bolt,         pounce,                           c-077,   1
rv-aerial-glide.png,                      xulc,       prime,       mistral,              aerial glide,                     c-069,   1
rv-channel.png,                           xulc,       prime,       mistral,              channel,                          c-070,   1
rv-gale-force.png,                        xulc,       prime,       mistral,              gale force,                       c-071,   1
rv-mistral-ability-back.png,              xulc,       prime,       mistral,              mistral ability back,             c-###,   1
rv-sear.png,                              xulc,       prime,       mistral,              sear,                             c-072,   1
rv-aerial-glide.png,                      xulc,       apex,        tempest,              aerial glide,                     c-073,   1
rv-arc-channel.png,                       xulc,       apex,        tempest,              arc channel,                      c-074,   1
rv-gale-force.png,                        xulc,       apex,        tempest,              gale force,                       c-075,   1
rv-sear.png,                              xulc,       apex,        tempest,              sear,                             c-076,   1
rv-tempest-ability-back.png,              xulc,       apex,        tempest,              tempest ability back,             c-###,   1
rv-bound-or-bore.png,                     xulc,       apex,        vesper-sharpshot,     bound or bore,                    c-081,   1
rv-cleanly-reknit.png,                    xulc,       apex,        vesper-sharpshot,     cleanly reknit,                   c-084,   1
rv-fall-brace.png,                        xulc,       apex,        vesper-sharpshot,     fall brace,                       c-082,   1
rv-numbing-ambush.png,                    xulc,       apex,        vesper-sharpshot,     numbing ambush,                   c-083,   1
rv-vesper-sharpshot-ability-back.png,     xulc,       apex,        vesper-sharpshot,     vesper sharpshot ability back,    c-###,   1
rv-barter.png,                            xulc,       apex,        wellspring-ewer,      barter,                           c-066,   1
rv-radiant-plumage.png,                   xulc,       apex,        wellspring-ewer,      radiant plumage,                  c-068,   1
rv-rapid-erosion.png,                     xulc,       apex,        wellspring-ewer,      rapid erosion,                    c-067,   1
rv-slip-stride.png,                       xulc,       apex,        wellspring-ewer,      slip stride,                      c-065,   1
rv-wellspring-ewer-ability-back.png,      xulc,       apex,        wellspring-ewer,      wellspring ewer ability back,     c-###,   1
rv-charge.png,                            xulc,       apex,        zero-sum,             charge,                           c-098,   1
rv-send-then-receive.png,                 xulc,       apex,        zero-sum,             send then receive,                c-100,   1
rv-sting-then-strike.png,                 xulc,       apex,        zero-sum,             sting then strike,                c-099,   1
rv-stockhold.png,                         xulc,       apex,        zero-sum,             stockhold,                        c-097,   1
rv-zero-sum-ability-back.png,             xulc,       apex,        zero-sum,             zero sum ability back,            c-###,   1
