# File Name                                 Expansion   Class Type                      Class Name   Card Name                            Card #   Printflag
rv-catalyzing-amulet-1.png,                 core,       merchant-level-1-armor,         xxxxx,       catalyzing amulet,                   i-097,   1
rv-slingspear-3.png,                        core,       merchant-level-2-consumables,   xxxxx,       slingspear,                          i-207,   3
rv-slingspear-4.png,                        core,       merchant-level-2-consumables,   xxxxx,       slingspear,                          i-208,   3
rv-vigor-salve-1.png,                       core,       merchant-level-2-consumables,   xxxxx,       vigor salve,                         i-209,   1
rv-vigor-salve-2.png,                       core,       merchant-level-2-consumables,   xxxxx,       vigor salve,                         i-210,   3
rv-vigor-salve-3.png,                       core,       merchant-level-2-consumables,   xxxxx,       vigor salve,                         i-211,   3
rv-vigor-salve-4.png,                       core,       merchant-level-2-consumables,   xxxxx,       vigor salve,                         i-212,   3
rv-chitin-tallshield-1.png,                 core,       merchant-level-2-weapons,       xxxxx,       chitin tallshield,                   i-051,   1
rv-chitin-tallshield-2.png,                 core,       merchant-level-2-weapons,       xxxxx,       chitin tallshield,                   i-052,   3
rv-merchant-level-2-weapons-back.png,       core,       merchant-level-2-weapons,       xxxxx,       merchant level 2 weapons back,       i-###,   2
rv-ringblade-1.png,                         core,       merchant-level-2-weapons,       xxxxx,       ringblade,                           i-039,   1
rv-ringblade-2.png,                         core,       merchant-level-2-weapons,       xxxxx,       ringblade,                           i-040,   3
rv-rivespear-1.png,                         core,       merchant-level-2-weapons,       xxxxx,       rivespear,                           i-041,   1
rv-rivespear-2.png,                         core,       merchant-level-2-weapons,       xxxxx,       rivespear,                           i-042,   3
rv-rod-of-seasons-1.png,                    core,       merchant-level-2-weapons,       xxxxx,       rod of seasons,                      i-049,   1
rv-rod-of-seasons-2.png,                    core,       merchant-level-2-weapons,       xxxxx,       rod of seasons,                      i-050,   3
rv-rough-cleaver-1.png,                     core,       merchant-level-2-weapons,       xxxxx,       rough cleaver,                       i-043,   1
rv-rough-cleaver-2.png,                     core,       merchant-level-2-weapons,       xxxxx,       rough cleaver,                       i-044,   3
rv-scroll-of-duality-1.png,                 core,       merchant-level-2-weapons,       xxxxx,       scroll of duality,                   i-047,   1
rv-scroll-of-duality-2.png,                 core,       merchant-level-2-weapons,       xxxxx,       scroll of duality,                   i-048,   3
rv-spikeshot-1.png,                         core,       merchant-level-2-weapons,       xxxxx,       spikeshot,                           i-045,   1
rv-spikeshot-2.png,                         core,       merchant-level-2-weapons,       xxxxx,       spikeshot,                           i-046,   3
rv-adamant-warders-1.png,                   core,       merchant-level-3-armor,         xxxxx,       adamant warders,                     i-125,   1
rv-adamant-warders-2.png,                   core,       merchant-level-3-armor,         xxxxx,       adamant warders,                     i-126,   3
rv-elemental-ward-1.png,                    core,       merchant-level-3-armor,         xxxxx,       elemental ward,                      i-121,   1
rv-elemental-ward-2.png,                    core,       merchant-level-3-armor,         xxxxx,       elemental ward,                      i-122,   3
rv-merchant-level-3-armor-back.png,         core,       merchant-level-3-armor,         xxxxx,       merchant level 3 armor back,         i-###,   2
rv-plated-aketon-1.png,                     core,       merchant-level-3-armor,         xxxxx,       plated aketon,                       i-123,   1
rv-plated-aketon-2.png,                     core,       merchant-level-3-armor,         xxxxx,       plated aketon,                       i-124,   3
rv-aviating-coalyst-1.png,                  core,       merchant-level-3-consumables,   xxxxx,       aviating coalyst,                    i-230,   1
rv-aviating-coalyst-2.png,                  core,       merchant-level-3-consumables,   xxxxx,       aviating coalyst,                    i-231,   3
rv-aviating-coalyst-3.png,                  core,       merchant-level-3-consumables,   xxxxx,       aviating coalyst,                    i-232,   3
rv-aviating-coalyst-4.png,                  core,       merchant-level-3-consumables,   xxxxx,       aviating coalyst,                    i-233,   3
rv-encrusting-coalyst-1.png,                core,       merchant-level-3-consumables,   xxxxx,       encrusting coalyst,                  i-238,   1
rv-encrusting-coalyst-2.png,                core,       merchant-level-3-consumables,   xxxxx,       encrusting coalyst,                  i-239,   3
rv-encrusting-coalyst-3.png,                core,       merchant-level-3-consumables,   xxxxx,       encrusting coalyst,                  i-240,   3
rv-encrusting-coalyst-4.png,                core,       merchant-level-3-consumables,   xxxxx,       encrusting coalyst,                  i-241,   3
rv-flaming-coalyst-1.png,                   core,       merchant-level-3-consumables,   xxxxx,       flaming coalyst,                     i-234,   1
rv-flaming-coalyst-2.png,                   core,       merchant-level-3-consumables,   xxxxx,       flaming coalyst,                     i-235,   3
rv-flaming-coalyst-3.png,                   core,       merchant-level-3-consumables,   xxxxx,       flaming coalyst,                     i-236,   3
rv-flaming-coalyst-4.png,                   core,       merchant-level-3-consumables,   xxxxx,       flaming coalyst,                     i-237,   3
rv-merchant-level-3-consumables-back.png,   core,       merchant-level-3-consumables,   xxxxx,       merchant level 3 consumables back,   i-###,   2
rv-pyknodrakaen-potion-1.png,               core,       merchant-level-3-consumables,   xxxxx,       pyknodrakaen potion,                 i-226,   1
rv-pyknodrakaen-potion-2.png,               core,       merchant-level-3-consumables,   xxxxx,       pyknodrakaen potion,                 i-227,   3
rv-pyknodrakaen-potion-3.png,               core,       merchant-level-3-consumables,   xxxxx,       pyknodrakaen potion,                 i-228,   3
rv-pyknodrakaen-potion-4.png,               core,       merchant-level-3-consumables,   xxxxx,       pyknodrakaen potion,                 i-229,   3
rv-weltering-coalyst-1.png,                 core,       merchant-level-3-consumables,   xxxxx,       weltering coalyst,                   i-242,   1
rv-weltering-coalyst-2.png,                 core,       merchant-level-3-consumables,   xxxxx,       weltering coalyst,                   i-243,   3
rv-weltering-coalyst-3.png,                 core,       merchant-level-3-consumables,   xxxxx,       weltering coalyst,                   i-244,   3
rv-weltering-coalyst-4.png,                 core,       merchant-level-3-consumables,   xxxxx,       weltering coalyst,                   i-245,   3
rv-zusag-high-keystone-1.png,               core,       merchant-level-3-consumables,   xxxxx,       zusag high keystone,                 i-222,   1
rv-zusag-high-keystone-2.png,               core,       merchant-level-3-consumables,   xxxxx,       zusag high keystone,                 i-223,   3
rv-zusag-high-keystone-3.png,               core,       merchant-level-3-consumables,   xxxxx,       zusag high keystone,                 i-224,   3
rv-zusag-high-keystone-4.png,               core,       merchant-level-3-consumables,   xxxxx,       zusag high keystone,                 i-225,   3
rv-chitin-carapace-bulwark-1.png,           core,       merchant-level-3-weapons,       xxxxx,       chitin carapace bulwark,             i-065,   1
rv-chitin-carapace-bulwark-2.png,           core,       merchant-level-3-weapons,       xxxxx,       chitin carapace bulwark,             i-066,   3
rv-far-caster-1.png,                        core,       merchant-level-3-weapons,       xxxxx,       far caster,                          i-059,   1
rv-far-caster-2.png,                        core,       merchant-level-3-weapons,       xxxxx,       far caster,                          i-060,   3
rv-merchant-level-3-weapons-back.png,       core,       merchant-level-3-weapons,       xxxxx,       merchant level 3 weapons back,       i-###,   2
rv-penitence-memento-1.png,                 core,       merchant-level-3-weapons,       xxxxx,       penitence memento,                   i-061,   1
rv-penitence-memento-2.png,                 core,       merchant-level-3-weapons,       xxxxx,       penitence memento,                   i-062,   3
rv-rod-of-dissonance-scepter-1.png,         core,       merchant-level-3-weapons,       xxxxx,       rod of dissonance scepter,           i-063,   1
rv-rod-of-dissonance-scepter-2.png,         core,       merchant-level-3-weapons,       xxxxx,       rod of dissonance scepter,           i-064,   3
rv-serrated-requital-1.png,                 core,       merchant-level-3-weapons,       xxxxx,       serrated requital,                   i-053,   1
rv-serrated-requital-2.png,                 core,       merchant-level-3-weapons,       xxxxx,       serrated requital,                   i-054,   3
rv-side-winder-1.png,                       core,       merchant-level-3-weapons,       xxxxx,       side winder,                         i-057,   1
rv-side-winder-2.png,                       core,       merchant-level-3-weapons,       xxxxx,       side winder,                         i-058,   3
rv-soaring-spear-1.png,                     core,       merchant-level-3-weapons,       xxxxx,       soaring spear,                       i-055,   1
rv-soaring-spear-2.png,                     core,       merchant-level-3-weapons,       xxxxx,       soaring spear,                       i-056,   3
rv-etheric-gleaner-1.png,                   core,       merchant-level-4-armor,         xxxxx,       etheric gleaner,                     i-127,   1
rv-etheric-gleaner-2.png,                   core,       merchant-level-4-armor,         xxxxx,       etheric gleaner,                     i-128,   3
rv-megalith-armor-1.png,                    core,       merchant-level-4-armor,         xxxxx,       megalith armor,                      i-129,   1
rv-megalith-armor-2.png,                    core,       merchant-level-4-armor,         xxxxx,       megalith armor,                      i-130,   3
rv-merchant-level-4-armor-back.png,         core,       merchant-level-4-armor,         xxxxx,       merchant level 4 armor back,         i-###,   2
rv-zephyr-streamers-1.png,                  core,       merchant-level-4-armor,         xxxxx,       zephyr streamers,                    i-131,   1
rv-zephyr-streamers-2.png,                  core,       merchant-level-4-armor,         xxxxx,       zephyr streamers,                    i-132,   3
rv-biting-zokolat-1.png,                    core,       merchant-level-4-consumables,   xxxxx,       biting zokolat,                      i-266,   1
rv-biting-zokolat-2.png,                    core,       merchant-level-4-consumables,   xxxxx,       biting zokolat,                      i-267,   3
rv-biting-zokolat-3.png,                    core,       merchant-level-4-consumables,   xxxxx,       biting zokolat,                      i-268,   3
rv-biting-zokolat-4.png,                    core,       merchant-level-4-consumables,   xxxxx,       biting zokolat,                      i-269,   3
rv-etheric-alkahest-1.png,                  core,       merchant-level-4-consumables,   xxxxx,       etheric alkahest,                    i-258,   1
rv-etheric-alkahest-2.png,                  core,       merchant-level-4-consumables,   xxxxx,       etheric alkahest,                    i-259,   3
rv-etheric-alkahest-3.png,                  core,       merchant-level-4-consumables,   xxxxx,       etheric alkahest,                    i-260,   3
rv-etheric-alkahest-4.png,                  core,       merchant-level-4-consumables,   xxxxx,       etheric alkahest,                    i-261,   3
rv-firegrit-shrapnel-1.png,                 core,       merchant-level-4-consumables,   xxxxx,       firegrit shrapnel,                   i-250,   1
rv-firegrit-shrapnel-2.png,                 core,       merchant-level-4-consumables,   xxxxx,       firegrit shrapnel,                   i-251,   3
rv-firegrit-shrapnel-3.png,                 core,       merchant-level-4-consumables,   xxxxx,       firegrit shrapnel,                   i-252,   3
rv-firegrit-shrapnel-4.png,                 core,       merchant-level-4-consumables,   xxxxx,       firegrit shrapnel,                   i-253,   3
rv-gemini-stellate-1.png,                   core,       merchant-level-4-consumables,   xxxxx,       gemini stellate,                     i-254,   1
rv-gemini-stellate-2.png,                   core,       merchant-level-4-consumables,   xxxxx,       gemini stellate,                     i-255,   3
rv-gemini-stellate-3.png,                   core,       merchant-level-4-consumables,   xxxxx,       gemini stellate,                     i-256,   3
rv-gemini-stellate-4.png,                   core,       merchant-level-4-consumables,   xxxxx,       gemini stellate,                     i-257,   3
rv-merchant-level-4-consumables-back.png,   core,       merchant-level-4-consumables,   xxxxx,       merchant level 4 consumables back,   i-###,   2
rv-soothing-liniment-1.png,                 core,       merchant-level-4-consumables,   xxxxx,       soothing liniment,                   i-262,   1
rv-soothing-liniment-2.png,                 core,       merchant-level-4-consumables,   xxxxx,       soothing liniment,                   i-263,   3
rv-soothing-liniment-3.png,                 core,       merchant-level-4-consumables,   xxxxx,       soothing liniment,                   i-264,   3
rv-soothing-liniment-4.png,                 core,       merchant-level-4-consumables,   xxxxx,       soothing liniment,                   i-265,   3
rv-vigor-spirit-1.png,                      core,       merchant-level-4-consumables,   xxxxx,       vigor spirit,                        i-246,   1
rv-vigor-spirit-2.png,                      core,       merchant-level-4-consumables,   xxxxx,       vigor spirit,                        i-247,   3
rv-vigor-spirit-3.png,                      core,       merchant-level-4-consumables,   xxxxx,       vigor spirit,                        i-248,   3
rv-vigor-spirit-4.png,                      core,       merchant-level-4-consumables,   xxxxx,       vigor spirit,                        i-249,   3
rv-caucus-thesis-1.png,                     core,       merchant-level-4-weapons,       xxxxx,       caucus thesis,                       i-075,   1
rv-caucus-thesis-2.png,                     core,       merchant-level-4-weapons,       xxxxx,       caucus thesis,                       i-076,   3
rv-composite-clawbow-1.png,                 core,       merchant-level-4-weapons,       xxxxx,       composite clawbow,                   i-073,   1
rv-composite-clawbow-2.png,                 core,       merchant-level-4-weapons,       xxxxx,       composite clawbow,                   i-074,   3
rv-conductors-rondo-1.png,                  core,       merchant-level-4-weapons,       xxxxx,       conductor's rondo,                   i-067,   1
rv-conductors-rondo-2.png,                  core,       merchant-level-4-weapons,       xxxxx,       conductor's rondo,                   i-068,   3
rv-martial-kembar-1.png,                    core,       merchant-level-4-weapons,       xxxxx,       martial kembar,                      i-071,   1
rv-martial-kembar-2.png,                    core,       merchant-level-4-weapons,       xxxxx,       martial kembar,                      i-072,   3
rv-merchant-level-4-weapons-back.png,       core,       merchant-level-4-weapons,       xxxxx,       merchant level 4 weapons back,       i-###,   2
rv-realization-1.png,                       core,       merchant-level-4-weapons,       xxxxx,       realization,                         i-077,   1
rv-realization-2.png,                       core,       merchant-level-4-weapons,       xxxxx,       realization,                         i-078,   3
rv-spielers-reach-1.png,                    core,       merchant-level-4-weapons,       xxxxx,       spieler's reach,                     i-069,   1
rv-spielers-reach-2.png,                    core,       merchant-level-4-weapons,       xxxxx,       spieler's reach,                     i-070,   3
rv-urns-sooth-1.png,                        core,       merchant-level-4-weapons,       xxxxx,       urn's sooth,                         i-079,   1
rv-urns-sooth-2.png,                        core,       merchant-level-4-weapons,       xxxxx,       urn's sooth,                         i-080,   3
rv-ahma-cowl.png,                           core,       reward-armor,                   xxxxx,       ahma cowl,                           i-133,   1
rv-coruscant-amblers.png,                   core,       reward-armor,                   xxxxx,       coruscant amblers,                   i-138,   1
rv-ethereal-aegis.png,                      core,       reward-armor,                   xxxxx,       ethereal aegis,                      i-144,   1
rv-ethereal-catena.png,                     core,       reward-armor,                   xxxxx,       ethereal catena,                     i-143,   1
rv-ezmenite-plate.png,                      core,       reward-armor,                   xxxxx,       ezmenite plate,                      i-134,   1
