# File Name                                Expansion   Class Type   Class Name            Card Name                     Card #   Printflag
rv-bulk-interactions.png,                  core,       apex,        aster,                bulk interactions,            s-092,   1
rv-revitalizing-clay.png,                  core,       base,        dune-dancer,          revitalizing clay,            s-022,   1
rv-sand-wedge.png,                         core,       base,        dune-dancer,          sand wedge,                   s-018,   1
rv-suffocating-spray.png,                  core,       base,        dune-dancer,          suffocating spray,            s-006,   1
rv-war-beast.png,                          core,       base,        dune-dancer,          war beast,                    s-021,   1
rv-alar.png,                               core,       base,        flash,                alar,                         s-055,   1
rv-attract.png,                            core,       base,        flash,                attract,                      s-065,   1
rv-blast.png,                              core,       base,        flash,                blast,                        s-058,   1
rv-bolt.png,                               core,       base,        flash,                bolt,                         s-056,   1
rv-buffet.png,                             core,       base,        flash,                buffet,                       s-069,   1
rv-charge.png,                             core,       base,        flash,                charge,                       s-061,   1
rv-eruption.png,                           core,       base,        flash,                eruption,                     s-060,   1
rv-flare.png,                              core,       base,        flash,                flare,                        s-070,   1
rv-galvanize.png,                          core,       base,        flash,                galvanize,                    s-076,   1
rv-helion.png,                             core,       base,        flash,                helion,                       s-074,   1
rv-kindle.png,                             core,       base,        flash,                kindle,                       s-062,   1
rv-link.png,                               core,       base,        flash,                link,                         s-075,   1
rv-mistral.png,                            core,       base,        flash,                mistral,                      s-071,   1
rv-pulse.png,                              core,       base,        flash,                pulse,                        s-063,   1
rv-scorch.png,                             core,       base,        flash,                scorch,                       s-073,   1
rv-singe.png,                              core,       base,        flash,                singe,                        s-067,   1
rv-smolder.png,                            core,       base,        flash,                smolder,                      s-064,   1
rv-stoke.png,                              core,       base,        flash,                stoke,                        s-066,   1
rv-suffuse.png,                            core,       base,        flash,                suffuse,                      s-053,   1
rv-swell.png,                              core,       base,        flash,                swell,                        s-054,   1
rv-tempest.png,                            core,       base,        flash,                tempest,                      s-059,   1
rv-transcend.png,                          core,       base,        flash,                transcend,                    s-057,   1
rv-vacuum.png,                             core,       base,        flash,                vacuum,                       s-068,   1
rv-zephyr.png,                             core,       base,        flash,                zephyr,                       s-072,   1
rv-blazing-trail.png,                      core,       prime,       helion,               blazing trail,                s-079,   1
rv-catalyzing-explosion.png,               core,       prime,       helion,               catalyzing explosion,         s-088,   1
rv-cleansing-flames.png,                   core,       prime,       helion,               cleansing flames,             s-077,   1
rv-controlled-backdraft.png,               core,       prime,       helion,               controlled backdraft,         s-078,   1
rv-detonate.png,                           core,       prime,       helion,               detonate,                     s-086,   1
rv-fire-volley.png,                        core,       prime,       helion,               fire volley,                  s-080,   1
rv-fueled-fire.png,                        core,       prime,       helion,               fueled fire,                  s-081,   1
rv-hot-air.png,                            core,       prime,       helion,               hot air,                      s-089,   1
rv-shifting-fronts.png,                    core,       prime,       helion,               shifting fronts,              s-087,   1
rv-smoldering-embers.png,                  core,       prime,       helion,               smoldering embers,            s-090,   1
rv-spontaneous-combustion.png,             core,       prime,       helion,               spontaneous combustion,       s-082,   1
rv-sudden-bellows.png,                     core,       prime,       helion,               sudden bellows,               s-083,   1
rv-torching-spray.png,                     core,       prime,       helion,               torching spray,               s-085,   1
rv-wind-barrier.png,                       core,       prime,       helion,               wind barrier,                 s-084,   1
rv-blunt-the-strike.png,                   core,       apex,        invisible-hand,       blunt the strike,             s-254,   1
rv-burning-pocket.png,                     core,       apex,        invisible-hand,       burning pocket,               s-256,   1
rv-direct-control.png,                     core,       apex,        invisible-hand,       direct control,               s-260,   1
rv-flip-the-script.png,                    core,       apex,        invisible-hand,       flip the script,              s-253,   1
rv-foes-falling.png,                       core,       apex,        invisible-hand,       foe's falling,                s-249,   1
rv-grasped-chances.png,                    core,       apex,        invisible-hand,       grasped chances,              s-250,   1
rv-resource-management.png,                core,       apex,        invisible-hand,       resource management,          s-259,   1
rv-risk-aversion.png,                      core,       apex,        invisible-hand,       risk aversion,                s-248,   1
rv-signal-noise.png,                       core,       apex,        invisible-hand,       signal noise,                 s-255,   1
rv-spread-wealth.png,                      core,       apex,        invisible-hand,       spread wealth,                s-247,   1
rv-strike-negotiations.png,                core,       apex,        invisible-hand,       strike negotiations,          s-258,   1
rv-vein-extraction.png,                    core,       apex,        invisible-hand,       vein extraction,              s-257,   1
rv-we-the-arbiters.png,                    core,       apex,        invisible-hand,       we: the arbiters,             s-251,   1
rv-we-the-beholders.png,                   core,       apex,        invisible-hand,       we: the beholders,            s-252,   1
rv-ad-hominem.png,                         core,       apex,        maximist,             ad hominem,                   s-203,   1
rv-alluring-thureoll-front.png,            core,       apex,        maximist,             alluring thureoll,            a-011,   1
rv-alluring-thureoll-back.png,             core,       apex,        maximist,             alluring thureoll,            a-011,   1
rv-best-fit.png,                           core,       apex,        maximist,             best fit,                     s-197,   1
rv-convincing-argument.png,                core,       apex,        maximist,             convincing argument,          s-201,   1
rv-escape-psychology.png,                  core,       apex,        maximist,             escape psychology,            s-208,   1
rv-exponential-formula.png,                core,       apex,        maximist,             exponential formula,          s-199,   1
rv-foundational-pillars.png,               core,       apex,        maximist,             foundational pillars,         s-202,   1
rv-impenetrable-position.png,              core,       apex,        maximist,             impenetrable position,        s-196,   1
rv-luminescent-quartic-front.png,          core,       apex,        maximist,             luminescent quartic,          a-010,   1
rv-luminescent-quartic-back.png,           core,       apex,        maximist,             luminescent quartic,          a-010,   1
rv-parabolic-formula.png,                  core,       apex,        maximist,             parabolic formula,            s-200,   1
rv-self-assurance.png,                     core,       apex,        maximist,             self assurance,               s-206,   1
rv-sheer-confidence.png,                   core,       apex,        maximist,             sheer confidence,             s-205,   1
rv-spread-the-word.png,                    core,       apex,        maximist,             spread the word,              s-195,   1
rv-substitute-reality.png,                 core,       apex,        maximist,             substitute reality,           s-207,   1
rv-via-proxy.png,                          core,       apex,        maximist,             via proxy,                    s-198,   1
rv-vox-populi.png,                         core,       apex,        maximist,             vox populi,                   s-204,   1
rv-apex-predator.png,                      core,       apex,        nocturne-hoarfrost,   apex predator,                s-146,   1
rv-blood-boil.png,                         core,       apex,        nocturne-hoarfrost,   blood boil,                   s-155,   1
rv-blood-echo.png,                         core,       apex,        nocturne-hoarfrost,   blood echo,                   s-150,   1
rv-chilling-cadence.png,                   core,       apex,        nocturne-hoarfrost,   chilling cadence,             s-149,   1
rv-cut-time.png,                           core,       apex,        nocturne-hoarfrost,   cut time,                     s-151,   1
rv-deeper-wounds.png,                      core,       apex,        nocturne-hoarfrost,   deeper wounds,                s-147,   1
rv-dirge-percussion.png,                   core,       apex,        nocturne-hoarfrost,   dirge percussion,             s-148,   1
rv-furys-end.png,                          core,       apex,        nocturne-hoarfrost,   fury's end,                   s-154,   1
rv-grim-scavenger.png,                     core,       apex,        nocturne-hoarfrost,   grim scavenger,               s-144,   1
rv-growing-tempo.png,                      core,       apex,        nocturne-hoarfrost,   growing tempo,                s-156,   1
rv-pursuit-predation.png,                  core,       apex,        nocturne-hoarfrost,   pursuit predation,            s-152,   1
rv-sanguine-crescendo.png,                 core,       apex,        nocturne-hoarfrost,   sanguine crescendo,           s-143,   1
rv-scent-trail.png,                        core,       apex,        nocturne-hoarfrost,   scent trail,                  s-153,   1
rv-soul-sway.png,                          core,       apex,        nocturne-hoarfrost,   soul sway,                    s-145,   1
rv-adamant-ardorok-front.png,              core,       prime,       ridge-striker,        adamant ardorok,              a-003,   1
rv-adamant-ardorok-back.png,               core,       prime,       ridge-striker,        adamant ardorok,              a-003,   1
rv-arid-valley.png,                        core,       prime,       ridge-striker,        arid valley,                  s-033,   1
rv-clay-cage.png,                          core,       prime,       ridge-striker,        clay cage,                    s-025,   1
rv-desert-night.png,                       core,       prime,       ridge-striker,        desert night,                 s-035,   1
rv-dual-talons.png,                        core,       prime,       ridge-striker,        dual talons,                  s-032,   1
rv-earthen-armor.png,                      core,       prime,       ridge-striker,        earthen armor,                s-037,   1
rv-enduring-valley.png,                    core,       prime,       ridge-striker,        enduring valley,              s-034,   1
rv-lent-patience.png,                      core,       prime,       ridge-striker,        lent patience,                s-030,   1
rv-lent-strength.png,                      core,       prime,       ridge-striker,        lent strength,                s-029,   1
rv-oasis-clemency.png,                     core,       prime,       ridge-striker,        oasis clemency,               s-031,   1
rv-sand-storm.png,                         core,       prime,       ridge-striker,        sand storm,                   s-036,   1
rv-searching-sands.png,                    core,       prime,       ridge-striker,        searching sands,              s-027,   1
rv-shifted-sands.png,                      core,       prime,       ridge-striker,        shifted sands,                s-038,   1
rv-tectonic-clash.png,                     core,       prime,       ridge-striker,        tectonic clash,               s-026,   1
rv-venerated-friend.png,                   core,       prime,       ridge-striker,        venerated friend,             s-028,   1
rv-bell-tolls.png,                         core,       base,        shadow-piercer,       bell tolls,                   s-106,   1
rv-careful-aim.png,                        core,       base,        shadow-piercer,       careful aim,                  s-109,   1
rv-consume-vitality.png,                   core,       base,        shadow-piercer,       consume vitality,             s-116,   1
rv-crimson-curse.png,                      core,       base,        shadow-piercer,       crimson curse,                s-121,   1
rv-devour-prey.png,                        core,       base,        shadow-piercer,       devour prey,                  s-110,   1
rv-disengage.png,                          core,       base,        shadow-piercer,       disengage,                    s-117,   1
rv-drag-away.png,                          core,       base,        shadow-piercer,       drag away,                    s-112,   1
rv-drain-essence.png,                      core,       base,        shadow-piercer,       drain essence,                s-123,   1
rv-draw-from-blood.png,                    core,       base,        shadow-piercer,       draw from blood,              s-115,   1
rv-ebony-blessing.png,                     core,       base,        shadow-piercer,       ebony blessing,               s-122,   1
rv-eviscerate.png,                         core,       base,        shadow-piercer,       eviscerate,                   s-108,   1
rv-feral-swipe.png,                        core,       base,        shadow-piercer,       feral swipe,                  s-118,   1
rv-forte.png,                              core,       base,        shadow-piercer,       forte,                        s-128,   1
rv-grace-note.png,                         core,       base,        shadow-piercer,       grace note,                   s-125,   1
rv-incant.png,                             core,       base,        shadow-piercer,       incant,                       s-111,   1
rv-invigorate.png,                         core,       base,        shadow-piercer,       invigorate,                   s-114,   1
rv-keen-bolter.png,                        core,       base,        shadow-piercer,       keen bolter,                  s-124,   1
rv-lifeblood.png,                          core,       base,        shadow-piercer,       lifeblood,                    s-105,   1
rv-lithe-form.png,                         core,       base,        shadow-piercer,       lithe form,                   s-119,   1
rv-miasmic-arrow.png,                      core,       base,        shadow-piercer,       miasmic arrow,                s-113,   1
rv-passing-knell.png,                      core,       base,        shadow-piercer,       passing knell,                s-107,   1
rv-pounce.png,                             core,       base,        shadow-piercer,       pounce,                       s-120,   1
rv-refrain.png,                            core,       base,        shadow-piercer,       refrain,                      s-127,   1
rv-umbral-howl.png,                        core,       base,        shadow-piercer,       umbral howl,                  s-126,   1
rv-alluring-armoroll-front.png,            core,       base,        sophist,              alluring armoroll,            a-006,   1
rv-alluring-armoroll-back.png,             core,       base,        sophist,              alluring armoroll,            a-006,   1
rv-bask-in-the-light.png,                  core,       base,        sophist,              bask in the light,            s-163,   1
rv-bitter-realization.png,                 core,       base,        sophist,              bitter realization,           s-172,   1
rv-blustery-rebuke.png,                    core,       base,        sophist,              blustery rebuke,              s-157,   1
rv-conceptualism.png,                      core,       base,        sophist,              conceptualism,                s-177,   1
rv-confound.png,                           core,       base,        sophist,              confound,                     s-169,   1
rv-dance-of-fronds.png,                    core,       base,        sophist,              dance of fronds,              s-164,   1
rv-dance-of-rays.png,                      core,       base,        sophist,              dance of rays,                s-170,   1
rv-dazzling-strike.png,                    core,       base,        sophist,              dazzling strike,              s-160,   1
rv-echo-chamber.png,                       core,       base,        sophist,              echo chamber,                 s-158,   1
rv-essentialism.png,                       core,       base,        sophist,              essentialism,                 s-176,   1
rv-intense-curiosity.png,                  core,       base,        sophist,              intense curiosity,            s-179,   1
rv-isolation-agitation.png,                core,       base,        sophist,              isolation agitation,          s-180,   1
rv-luminescent-hyperbola-front.png,        core,       base,        sophist,              luminescent hyperbola,        a-005,   1
rv-luminescent-hyperbola-back.png,         core,       base,        sophist,              luminescent hyperbola,        a-005,   1
rv-lustrous-flare.png,                     core,       base,        sophist,              lustrous flare,               s-166,   1
rv-moments-respite.png,                    core,       base,        sophist,              moment's respite,             s-159,   1
rv-pure-sophistry.png,                     core,       base,        sophist,              pure sophistry,               s-175,   1
rv-radiant-aerios-front.png,               core,       base,        sophist,              radiant aerios,               a-007,   1
rv-radiant-aerios-back.png,                core,       base,        sophist,              radiant aerios,               a-007,   1
rv-ready-in-mind.png,                      core,       base,        sophist,              ready in mind,                s-171,   1
rv-scintillating-darts.png,                core,       base,        sophist,              scintillating darts,          s-173,   1
rv-second-wind.png,                        core,       base,        sophist,              second wind,                  s-178,   1
rv-shifts-in-the-wind.png,                 core,       base,        sophist,              shifts in the wind,           s-161,   1
rv-sound-barrier.png,                      core,       base,        sophist,              sound barrier,                s-168,   1
rv-sudden-debate.png,                      core,       base,        sophist,              sudden debate,                s-174,   1
rv-trick-of-the-light.png,                 core,       base,        sophist,              trick of the light,           s-162,   1
rv-unnatural-defenses.png,                 core,       base,        sophist,              unnatural defenses,           s-165,   1
rv-watch-your-step.png,                    core,       base,        sophist,              watch your step,              s-167,   1
rv-against-the-stream.png,                 core,       prime,       toll-bearer,          against the stream,           s-240,   1
rv-call-the-cavalry.png,                   core,       prime,       toll-bearer,          call the cavalry,             s-237,   1
rv-collected-dividends.png,                core,       prime,       toll-bearer,          collected dividends,          s-234,   1
rv-defensive-formula.png,                  core,       prime,       toll-bearer,          defensive formula,            s-241,   1
rv-devastating-charge.png,                 core,       prime,       toll-bearer,          devastating charge,           s-246,   1
rv-even-the-odds.png,                      core,       prime,       toll-bearer,          even the odds,                s-239,   1
rv-fire-arum-grit.png,                     core,       prime,       toll-bearer,          fire-arum grit,               s-242,   1
rv-psychic-onslaught.png,                  core,       prime,       toll-bearer,          psychic onslaught,            s-244,   1
rv-punished-mistakes.png,                  core,       prime,       toll-bearer,          punished mistakes,            s-243,   1
rv-recoup-losses.png,                      core,       prime,       toll-bearer,          recoup losses,                s-235,   1
rv-short-leash.png,                        core,       prime,       toll-bearer,          short leash,                  s-236,   1
rv-siege-position.png,                     core,       prime,       toll-bearer,          siege position,               s-233,   1
rv-stolen-valor.png,                       core,       prime,       toll-bearer,          stolen valor,                 s-245,   1
rv-strain-the-nerve.png,                   core,       prime,       toll-bearer,          strain the nerve,             s-238,   1
rv-against-the-odds.png,                   core,       base,        true-scale,           against the odds,             s-221,   1
rv-amidst-the-fray.png,                    core,       base,        true-scale,           amidst the fray,              s-220,   1
rv-blast-step.png,                         core,       base,        true-scale,           blast step,                   s-217,   1
rv-coordinated-assault.png,                core,       base,        true-scale,           coordinated assault,          s-214,   1
rv-credit.png,                             core,       base,        true-scale,           credit,                       s-231,   1
rv-divesting-thoughts.png,                 core,       base,        true-scale,           divesting thoughts,           s-228,   1
rv-embezzle.png,                           core,       base,        true-scale,           embezzle,                     s-229,   1
rv-fierce-ransomer.png,                    core,       base,        true-scale,           fierce ransomer,              s-230,   1
rv-initial-investment.png,                 core,       base,        true-scale,           initial investment,           s-226,   1
rv-intrusive-thoughts.png,                 core,       base,        true-scale,           intrusive thoughts,           s-215,   1
rv-knock-senseless.png,                    core,       base,        true-scale,           knock senseless,              s-210,   1
rv-press-the-advantage.png,                core,       base,        true-scale,           press the advantage,          s-222,   1
rv-psychic-scars.png,                      core,       base,        true-scale,           psychic scars,                s-225,   1
rv-ruthless-assault.png,                   core,       base,        true-scale,           ruthless assault,             s-216,   1
rv-safe-cracker.png,                       core,       base,        true-scale,           safe cracker,                 s-227,   1
rv-settling-groundwork.png,                core,       base,        true-scale,           settling groundwork,          s-213,   1
rv-shell-games.png,                        core,       base,        true-scale,           shell games,                  s-209,   1
rv-spectrum-support.png,                   core,       base,        true-scale,           spectrum support,             s-223,   1
rv-strange-chatter.png,                    core,       base,        true-scale,           strange chatter,              s-211,   1
rv-sweeping-cleave.png,                    core,       base,        true-scale,           sweeping cleave,              s-212,   1
rv-toll-bearer.png,                        core,       base,        true-scale,           toll bearer,                  s-232,   1
rv-traitorous-thoughts.png,                core,       base,        true-scale,           traitorous thoughts,          s-218,   1
rv-volatile-exchange.png,                  core,       base,        true-scale,           volatile exchange,            s-224,   1
rv-watch-the-back.png,                     core,       base,        true-scale,           watch the back,               s-219,   1
rv-claret-dewclaw.png,                     core,       prime,       umbral-howl,          claret dewclaw,               s-136,   1
rv-gut-wrench.png,                         core,       prime,       umbral-howl,          gut wrench,                   s-141,   1
rv-measured-beat.png,                      core,       prime,       umbral-howl,          measured beat,                s-135,   1
rv-meditative-trance.png,                  core,       prime,       umbral-howl,          meditative trance,            s-139,   1
rv-offbeat-note.png,                       core,       prime,       umbral-howl,          offbeat note,                 s-137,   1
rv-out-for-blood.png,                      core,       prime,       umbral-howl,          out for blood,                s-133,   1
rv-predatory-drive.png,                    core,       prime,       umbral-howl,          predatory drive,              s-132,   1
rv-renewed-vitality.png,                   core,       prime,       umbral-howl,          renewed vitality,             s-134,   1
rv-spine-chatter.png,                      core,       prime,       umbral-howl,          spine chatter,                s-130,   1
rv-sprung-rhythm.png,                      core,       prime,       umbral-howl,          sprung rhythm,                s-129,   1
rv-tapered-reverb.png,                     core,       prime,       umbral-howl,          tapered reverb,               s-140,   1
rv-tightened-strings.png,                  core,       prime,       umbral-howl,          tightened strings,            s-131,   1
rv-unquenchable-thirst.png,                core,       prime,       umbral-howl,          unquenchable thirst,          s-138,   1
rv-wild-heart.png,                         core,       prime,       umbral-howl,          wild heart,                   s-142,   1
rv-agree-to-disagree.png,                  xulc,       prime,       essentialist,         agree to disagree,            s-348,   1
rv-damaged-reputation.png,                 xulc,       prime,       essentialist,         damaged reputation,           s-351,   1
rv-equivocation.png,                       xulc,       prime,       essentialist,         equivocation,                 s-349,   1
rv-heads-up.png,                           xulc,       prime,       essentialist,         heads up,                     s-345,   1
rv-leading-term.png,                       xulc,       prime,       essentialist,         leading term,                 s-353,   1
rv-lessened-lessons.png,                   xulc,       prime,       essentialist,         lessened lessons,             s-355,   1
rv-luminescent-hyperbola-front.png,        xulc,       prime,       essentialist,         luminescent hyperbola,        a-020,   1
rv-luminescent-hyperbola-back.png,         xulc,       prime,       essentialist,         luminescent hyperbola,        a-020,   1
rv-negative-reinforcement.png,             xulc,       prime,       essentialist,         negative reinforcement,       s-357,   1
rv-plausible-deniability.png,              xulc,       prime,       essentialist,         plausible deniability,        s-350,   1
rv-positive-reinforcement.png,             xulc,       prime,       essentialist,         positive reinforcement,       s-358,   1
rv-power-function.png,                     xulc,       prime,       essentialist,         power function,               s-354,   1
rv-press-gang.png,                         xulc,       prime,       essentialist,         press gang,                   s-356,   1
rv-prestidigitation-front.png,             xulc,       prime,       essentialist,         prestidigitation,             a-021,   1
rv-prestidigitation-back.png,              xulc,       prime,       essentialist,         prestidigitation,             a-021,   1
rv-rule-forty-two.png,                     xulc,       prime,       essentialist,         rule forty-two,               s-352,   1
rv-sleight-of-hand.png,                    xulc,       prime,       essentialist,         sleight of hand,              s-346,   1
rv-strawman-fallacy.png,                   xulc,       prime,       essentialist,         strawman fallacy,             s-347,   1
rv-breach-clear.png,                       xulc,       prime,       fierce-ransomer,      breach--clear,                s-376,   1
rv-collect-dispose.png,                    xulc,       prime,       fierce-ransomer,      collect--dispose,             s-386,   1
rv-confuse-disorient.png,                  xulc,       prime,       fierce-ransomer,      confuse--disorient,           s-375,   1
rv-control-sweep.png,                      xulc,       prime,       fierce-ransomer,      control--sweep,               s-373,   1
rv-organize-facilitate.png,                xulc,       prime,       fierce-ransomer,      organize--facilitate,         s-383,   1
rv-pierce-the-veil.png,                    xulc,       prime,       fierce-ransomer,      pierce the veil,              s-380,   1
rv-push-the-luck.png,                      xulc,       prime,       fierce-ransomer,      push the luck,                s-377,   1
rv-reassert.png,                           xulc,       prime,       fierce-ransomer,      reassert,                     s-382,   1
rv-reconcile-redistribute.png,             xulc,       prime,       fierce-ransomer,      reconcile--redistribute,      s-384,   1
rv-resist-the-thought.png,                 xulc,       prime,       fierce-ransomer,      resist the thought,           s-378,   1
rv-resupply.png,                           xulc,       prime,       fierce-ransomer,      resupply,                     s-381,   1
rv-seek-clarify.png,                       xulc,       prime,       fierce-ransomer,      seek--clarify,                s-374,   1
rv-shipping-handling.png,                  xulc,       prime,       fierce-ransomer,      shipping--handling,           s-385,   1
rv-stoke-the-flames.png,                   xulc,       prime,       fierce-ransomer,      stoke the flames,             s-379,   1
rv-biting-cold.png,                        xulc,       prime,       fountain-caller,      biting cold,                  s-273,   1
rv-call-and-response.png,                  xulc,       prime,       fountain-caller,      call and response,            s-270,   1
rv-cherished-friend.png,                   xulc,       prime,       fountain-caller,      cherished friend,             s-264,   1
rv-chilling-reminder.png,                  xulc,       prime,       fountain-caller,      chilling reminder,            s-269,   1
rv-cold-shoulder.png,                      xulc,       prime,       fountain-caller,      cold shoulder,                s-271,   1
rv-desert-blood.png,                       xulc,       prime,       fountain-caller,      desert blood,                 s-265,   1
rv-freezing-spiral.png,                    xulc,       prime,       fountain-caller,      freezing spiral,              s-263,   1
rv-frozen-wave.png,                        xulc,       prime,       fountain-caller,      frozen wave,                  s-262,   1
rv-growing-typhon-front.png,               xulc,       prime,       fountain-caller,      growing typhon,               a-017,   1
rv-growing-typhon-back.png,                xulc,       prime,       fountain-caller,      growing typhon,               a-017,   1
rv-oasis-revival.png,                      xulc,       prime,       fountain-caller,      oasis revival,                s-261,   1
rv-pure-fluids.png,                        xulc,       prime,       fountain-caller,      pure fluids,                  s-266,   1
rv-refreshing-chill.png,                   xulc,       prime,       fountain-caller,      refreshing chill,             s-274,   1
rv-resplendent-ardorok-front.png,          xulc,       prime,       fountain-caller,      resplendent ardorok,          a-016,   1
