# File Name                                                 Expansion   Class Type   Class Name     Card Name                                      Card #   Printflag
rv-desktop-river-market.png,                                game,       pictures,    desktop,       desktop river market,                          x-###,   1
rv-ashemak-standee-back.png,                                core,       standees,    adversaries,   faltering ashemak,                             x-###,   1
rv-azoth-standee-front.png,                                 core,       standees,    adversaries,   azoth,                                         x-###,   1
rv-azoth-standee-back.png,                                  core,       standees,    adversaries,   azoth,                                         x-###,   1
rv-azoth-standee-front.png,                                 core,       standees,    adversaries,   hyperborea,                                    x-###,   1
rv-azoth-standee-back.png,                                  core,       standees,    adversaries,   hyperborea,                                    x-###,   1
rv-bazhar-standee-front.png,                                core,       standees,    adversaries,   bazhar,                                        x-###,   1
rv-bazhar-standee-back.png,                                 core,       standees,    adversaries,   bazhar,                                        x-###,   1
rv-bazhar-standee-front.png,                                core,       standees,    adversaries,   bazhar absolute,                               x-###,   1
rv-bazhar-standee-back.png,                                 core,       standees,    adversaries,   bazhar absolute,                               x-###,   1
rv-bazhar-standee-front.png,                                core,       standees,    adversaries,   bazhar caller,                                 x-###,   1
rv-bazhar-standee-back.png,                                 core,       standees,    adversaries,   bazhar caller,                                 x-###,   1
rv-bazhar-standee-front.png,                                core,       standees,    adversaries,   bazhar charger,                                x-###,   1
rv-bazhar-standee-back.png,                                 core,       standees,    adversaries,   bazhar charger,                                x-###,   1
rv-bazhar-standee-front.png,                                core,       standees,    adversaries,   bazhar creator,                                x-###,   1
rv-bazhar-standee-back.png,                                 core,       standees,    adversaries,   bazhar creator,                                x-###,   1
rv-briarbull-standee-front.png,                             core,       standees,    adversaries,   briarbull,                                     x-###,   1
rv-briarbull-standee-back.png,                              core,       standees,    adversaries,   briarbull,                                     x-###,   1
rv-briarbull-standee-front.png,                             core,       standees,    adversaries,   zipahudi the briarbull,                        x-###,   1
rv-briarbull-standee-back.png,                              core,       standees,    adversaries,   zipahudi the briarbull,                        x-###,   1
rv-briarwog-standee-front.png,                              core,       standees,    adversaries,   briarwog,                                      x-###,   1
rv-briarwog-standee-back.png,                               core,       standees,    adversaries,   briarwog,                                      x-###,   1
rv-broken-vessel-standee-front.png,                         core,       standees,    adversaries,   broken vessel,                                 x-###,   1
rv-broken-vessel-standee-back.png,                          core,       standees,    adversaries,   broken vessel,                                 x-###,   1
rv-broken-vessel-standee-front.png,                         core,       standees,    adversaries,   corrupted form,                                x-###,   1
rv-broken-vessel-standee-back.png,                          core,       standees,    adversaries,   corrupted form,                                x-###,   1
rv-bulwauros-standee-front.png,                             core,       standees,    adversaries,   bulwauros,                                     x-###,   1
rv-bulwauros-standee-back.png,                              core,       standees,    adversaries,   bulwauros,                                     x-###,   1
rv-bulwauros-standee-front.png,                             core,       standees,    adversaries,   bulwauros husk,                                x-###,   1
rv-bulwauros-standee-back.png,                              core,       standees,    adversaries,   bulwauros husk,                                x-###,   1
rv-crown-standee-front.png,                                 core,       standees,    adversaries,   crown,                                         x-###,   1
rv-crown-standee-back.png,                                  core,       standees,    adversaries,   crown,                                         x-###,   1
rv-crown-standee-front.png,                                 core,       standees,    adversaries,   fading crown,                                  x-###,   1
rv-crown-standee-back.png,                                  core,       standees,    adversaries,   fading crown,                                  x-###,   1
rv-crown-standee-front.png,                                 core,       standees,    adversaries,   uzem's anxiety,                                x-###,   1
rv-crown-standee-back.png,                                  core,       standees,    adversaries,   uzem's anxiety,                                x-###,   1
rv-crown-standee-front.png,                                 core,       standees,    adversaries,   uzem's endurance,                              x-###,   1
rv-crown-standee-back.png,                                  core,       standees,    adversaries,   uzem's endurance,                              x-###,   1
rv-crown-standee-front.png,                                 core,       standees,    adversaries,   uzem's fervor,                                 x-###,   1
rv-crown-standee-back.png,                                  core,       standees,    adversaries,   uzem's fervor,                                 x-###,   1
rv-crown-standee-front.png,                                 core,       standees,    adversaries,   uzem's woe,                                    x-###,   1
rv-crown-standee-back.png,                                  core,       standees,    adversaries,   uzem's woe,                                    x-###,   1
rv-dekaha-standee-front.png,                                core,       standees,    adversaries,   dekaha,                                        x-###,   1
rv-dekaha-standee-back.png,                                 core,       standees,    adversaries,   dekaha,                                        x-###,   1
rv-dekaha-standee-front.png,                                core,       standees,    adversaries,   withering dekaha,                              x-###,   1
rv-dekaha-standee-back.png,                                 core,       standees,    adversaries,   withering dekaha,                              x-###,   1
rv-dyad-standee-front.png,                                  core,       standees,    adversaries,   dyad,                                          x-###,   1
rv-dyad-standee-back.png,                                   core,       standees,    adversaries,   dyad,                                          x-###,   1
rv-dyad-standee-front.png,                                  core,       standees,    adversaries,   dyad hatchling,                                x-###,   1
rv-dyad-standee-back.png,                                   core,       standees,    adversaries,   dyad hatchling,                                x-###,   1
rv-dyad-standee-front.png,                                  core,       standees,    adversaries,   listless dyad,                                 x-###,   1
rv-dyad-standee-back.png,                                   core,       standees,    adversaries,   listless dyad,                                 x-###,   1
rv-eclipse-mounted-standee-front.png,                       core,       standees,    adversaries,   eclipse mounted,                               x-###,   1
rv-eclipse-mounted-standee-back.png,                        core,       standees,    adversaries,   eclipse mounted,                               x-###,   1
rv-eclipse-standee-front.png,                               core,       standees,    adversaries,   eclipse,                                       x-###,   1
rv-eclipse-standee-back.png,                                core,       standees,    adversaries,   eclipse,                                       x-###,   1
rv-eclipse-standee-front.png,                               core,       standees,    adversaries,   eclipse ether ascended,                        x-###,   1
rv-eclipse-standee-back.png,                                core,       standees,    adversaries,   eclipse ether ascended,                        x-###,   1
rv-fell-cradle-standee-front.png,                           core,       standees,    adversaries,   fell cradle,                                   x-###,   1
rv-fell-cradle-standee-back.png,                            core,       standees,    adversaries,   fell cradle,                                   x-###,   1
rv-fell-cradle-standee-front.png,                           core,       standees,    adversaries,   broken reflection,                             x-###,   1
rv-fell-cradle-standee-back.png,                            core,       standees,    adversaries,   broken reflection,                             x-###,   1
rv-femii-standee-front.png,                                 core,       standees,    adversaries,   femii,                                         x-###,   1
rv-femii-standee-back.png,                                  core,       standees,    adversaries,   femii,                                         x-###,   1
rv-femii-standee-front.png,                                 core,       standees,    adversaries,   femii sovereign,                               x-###,   1
rv-femii-standee-back.png,                                  core,       standees,    adversaries,   femii sovereign,                               x-###,   1
rv-galeaper-queen-standee-front.png,                        core,       standees,    adversaries,   galeaper queen,                                x-###,   1
rv-galeaper-queen-standee-back.png,                         core,       standees,    adversaries,   galeaper queen,                                x-###,   1
rv-galeaper-standee-front.png,                              core,       standees,    adversaries,   galeaper,                                      x-###,   1
rv-galeaper-standee-back.png,                               core,       standees,    adversaries,   galeaper,                                      x-###,   1
rv-galeaper-standee-front.png,                              core,       standees,    adversaries,   galeling,                                      x-###,   1
rv-galeaper-standee-back.png,                               core,       standees,    adversaries,   galeling,                                      x-###,   1
rv-grovetender-standee-front.png,                           core,       standees,    adversaries,   grovetender,                                   x-###,   1
rv-grovetender-standee-back.png,                            core,       standees,    adversaries,   grovetender,                                   x-###,   1
rv-grovetender-standee-front.png,                           core,       standees,    adversaries,   hokmala,                                       x-###,   1
rv-grovetender-standee-back.png,                            core,       standees,    adversaries,   hokmala,                                       x-###,   1
rv-gruv-standee-front.png,                                  core,       standees,    adversaries,   gruv,                                          x-###,   1
rv-gruv-standee-back.png,                                   core,       standees,    adversaries,   gruv,                                          x-###,   1
rv-gruv-standee-front.png,                                  core,       standees,    adversaries,   fracturing gruv,                               x-###,   1
rv-gruv-standee-back.png,                                   core,       standees,    adversaries,   fracturing gruv,                               x-###,   1
rv-harrow-standee-front.png,                                core,       standees,    adversaries,   harrow,                                        x-###,   1
rv-harrow-standee-back.png,                                 core,       standees,    adversaries,   harrow,                                        x-###,   1
rv-harrow-standee-front.png,                                core,       standees,    adversaries,   final cut,                                     x-###,   1
rv-harrow-standee-back.png,                                 core,       standees,    adversaries,   final cut,                                     x-###,   1
rv-harrow-standee-front.png,                                core,       standees,    adversaries,   heavy hand,                                    x-###,   1
rv-harrow-standee-back.png,                                 core,       standees,    adversaries,   heavy hand,                                    x-###,   1
rv-haunt-standee-front.png,                                 core,       standees,    adversaries,   haunt,                                         x-###,   1
rv-haunt-standee-back.png,                                  core,       standees,    adversaries,   haunt,                                         x-###,   1
rv-hydra-standee-front.png,                                 core,       standees,    adversaries,   hydra,                                         x-###,   1
rv-hydra-standee-back.png,                                  core,       standees,    adversaries,   hydra,                                         x-###,   1
rv-kaleido-standee-front.png,                               core,       standees,    adversaries,   kaleido,                                       x-###,   1
rv-kaleido-standee-back.png,                                core,       standees,    adversaries,   kaleido,                                       x-###,   1
rv-kaleido-tentacle-standee-front.png,                      core,       standees,    adversaries,   kaleido tentacle,                              x-###,   1
rv-kaleido-tentacle-standee-back.png,                       core,       standees,    adversaries,   Kaleido tentacle,                              x-###,   1
rv-kaleido-tentacle-standee-front.png,                      core,       standees,    adversaries,   tentacle,                                      x-###,   1
rv-kaleido-tentacle-standee-back.png,                       core,       standees,    adversaries,   tentacle,                                      x-###,   1
rv-kelo-and-saras-standee-front.png,                        core,       standees,    adversaries,   kelo and saras,                                x-###,   1
rv-kelo-and-saras-standee-back.png,                         core,       standees,    adversaries,   kelo and saras,                                x-###,   1
rv-kelo-and-saras-standee-front.png,                        core,       standees,    adversaries,   kelo,                                          x-###,   1
rv-kelo-and-saras-standee-back.png,                         core,       standees,    adversaries,   kelo,                                          x-###,   1
rv-kelo-and-saras-standee-front.png,                        core,       standees,    adversaries,   saras,                                         x-###,   1
rv-kelo-and-saras-standee-back.png,                         core,       standees,    adversaries,   saras,                                         x-###,   1
rv-kifa-standee-front.png,                                  core,       standees,    adversaries,   kifa,                                          x-###,   1
rv-kifa-standee-back.png,                                   core,       standees,    adversaries,   kifa,                                          x-###,   1
rv-marii-standee-front.png,                                 core,       standees,    adversaries,   marii,                                         x-###,   1
rv-marii-standee-back.png,                                  core,       standees,    adversaries,   marii,                                         x-###,   1
rv-marii-standee-front.png,                                 core,       standees,    adversaries,   marii advocate,                                x-###,   1
rv-marii-standee-back.png,                                  core,       standees,    adversaries,   marii advocate,                                x-###,   1
rv-nahadir-standee-front.png,                               core,       standees,    adversaries,   nahadir,                                       x-###,   1
rv-nahadir-standee-back.png,                                core,       standees,    adversaries,   nahadir,                                       x-###,   1
rv-nahadir-standee-front.png,                               core,       standees,    adversaries,   zaghan nahadir,                                x-###,   1
rv-nahadir-standee-back.png,                                core,       standees,    adversaries,   zaghan nahadir,                                x-###,   1
rv-nahoot-standee-front.png,                                core,       standees,    adversaries,   nahoot,                                        x-###,   1
rv-nahoot-standee-back.png,                                 core,       standees,    adversaries,   nahoot,                                        x-###,   1
rv-nahoot-standee-front.png,                                core,       standees,    adversaries,   zaghan nahoot,                                 x-###,   1
rv-nahoot-standee-back.png,                                 core,       standees,    adversaries,   zaghan nahoot,                                 x-###,   1
rv-nektari-standee-front.png,                               core,       standees,    adversaries,   nektari,                                       x-###,   1
rv-nektari-standee-back.png,                                core,       standees,    adversaries,   nektari,                                       x-###,   1
rv-nektari-standee-front.png,                               core,       standees,    adversaries,   nektari swarm,                                 x-###,   1
rv-nektari-standee-back.png,                                core,       standees,    adversaries,   nektari swarm,                                 x-###,   1
rv-nektari-standee-front.png,                               core,       standees,    adversaries,   corrupted nektari swarm,                       x-###,   1
rv-nektari-standee-back.png,                                core,       standees,    adversaries,   corrupted nektari swarm,                       x-###,   1
rv-onisski-standee-front.png,                               core,       standees,    adversaries,   onisski,                                       x-###,   1
rv-onisski-standee-back.png,                                core,       standees,    adversaries,   onisski,                                       x-###,   1
rv-querist-standee-front.png,                               core,       standees,    adversaries,   querist,                                       x-###,   1
rv-querist-standee-back.png,                                core,       standees,    adversaries,   querist,                                       x-###,   1
rv-rakifa-standee-front.png,                                core,       standees,    adversaries,   rakifa,                                        x-###,   1
rv-rakifa-standee-back.png,                                 core,       standees,    adversaries,   rakifa,                                        x-###,   1
rv-ranger-standee-front.png,                                core,       standees,    adversaries,   ranger,                                        x-###,   1
rv-ranger-standee-back.png,                                 core,       standees,    adversaries,   ranger,                                        x-###,   1
rv-ranger-standee-front.png,                                core,       standees,    adversaries,   borrowed vessel,                               x-###,   1
rv-ranger-standee-back.png,                                 core,       standees,    adversaries,   borrowed vessel,                               x-###,   1
rv-ranger-standee-front.png,                                core,       standees,    adversaries,   courslayer,                                    x-###,   1
rv-ranger-standee-back.png,                                 core,       standees,    adversaries,   courslayer,                                    x-###,   1
rv-ranger-standee-front.png,                                core,       standees,    adversaries,   piercing gaze,                                 x-###,   1
rv-ranger-standee-back.png,                                 core,       standees,    adversaries,   piercing gaze,                                 x-###,   1
rv-ranger-standee-front.png,                                core,       standees,    adversaries,   warden,                                        x-###,   1
rv-ranger-standee-back.png,                                 core,       standees,    adversaries,   warden,                                        x-###,   1
rv-scour-standee-front.png,                                 core,       standees,    adversaries,   scour,                                         x-###,   1
rv-scour-standee-back.png,                                  core,       standees,    adversaries,   scour,                                         x-###,   1
rv-sek-standee-front.png,                                   core,       standees,    adversaries,   sek,                                           x-###,   1
rv-sek-standee-back.png,                                    core,       standees,    adversaries,   sek,                                           x-###,   1
rv-sek-standee-front.png,                                   core,       standees,    adversaries,   sek principal,                                 x-###,   1
rv-sek-standee-back.png,                                    core,       standees,    adversaries,   sek principal,                                 x-###,   1
rv-skara-standee-front.png,                                 core,       standees,    adversaries,   skara,                                         x-###,   1
rv-skara-standee-back.png,                                  core,       standees,    adversaries,   skara,                                         x-###,   1
rv-squall-standee-front.png,                                core,       standees,    adversaries,   squall,                                        x-###,   1
rv-squall-standee-back.png,                                 core,       standees,    adversaries,   squall,                                        x-###,   1
rv-stomaw-standee-front.png,                                core,       standees,    adversaries,   stomaw,                                        x-###,   1
rv-stomaw-standee-back.png,                                 core,       standees,    adversaries,   stomaw,                                        x-###,   1
rv-stomaw-standee-front.png,                                core,       standees,    adversaries,   endless hunger,                                x-###,   1
rv-stomaw-standee-back.png,                                 core,       standees,    adversaries,   endless hunger,                                x-###,   1
rv-stomaw-standee-front.png,                                core,       standees,    adversaries,   writhing stomaw,                               x-###,   1
rv-stomaw-standee-back.png,                                 core,       standees,    adversaries,   writhing stomaw,                               x-###,   1
rv-stormcaller-standee-front.png,                           core,       standees,    adversaries,   stormcaller,                                   x-###,   1
rv-stormcaller-standee-back.png,                            core,       standees,    adversaries,   stormcaller,                                   x-###,   1
rv-stormcaller-standee-front.png,                           core,       standees,    adversaries,   battering winds,                               x-###,   1
rv-stormcaller-standee-back.png,                            core,       standees,    adversaries,   battering winds,                               x-###,   1
rv-stormcaller-standee-front.png,                           core,       standees,    adversaries,   embercaller,                                   x-###,   1
rv-stormcaller-standee-back.png,                            core,       standees,    adversaries,   embercaller,                                   x-###,   1
rv-stormcaller-standee-front.png,                           core,       standees,    adversaries,   stolen breath,                                 x-###,   1
rv-stormcaller-standee-back.png,                            core,       standees,    adversaries,   stolen breath,                                 x-###,   1
rv-stormcaller-standee-front.png,                           core,       standees,    adversaries,   tremorcaller,                                  x-###,   1
rv-stormcaller-standee-back.png,                            core,       standees,    adversaries,   tremorcaller,                                  x-###,   1
rv-stormcaller-standee-front.png,                           core,       standees,    adversaries,   wavecaller,                                    x-###,   1
rv-stormcaller-standee-back.png,                            core,       standees,    adversaries,   wavecaller,                                    x-###,   1
rv-streak-standee-front.png,                                core,       standees,    adversaries,   streak,                                        x-###,   1
rv-streak-standee-back.png,                                 core,       standees,    adversaries,   streak,                                        x-###,   1
rv-svaraka-standee-front.png,                               core,       standees,    adversaries,   svaraka,                                       x-###,   1
rv-svaraka-standee-back.png,                                core,       standees,    adversaries,   svaraka,                                       x-###,   1
rv-terranape-standee-front.png,                             core,       standees,    adversaries,   terranape,                                     x-###,   1
rv-terranape-standee-back.png,                              core,       standees,    adversaries,   terranape,                                     x-###,   1
rv-terranape-standee-front.png,                             core,       standees,    adversaries,   bursting terranape,                            x-###,   1
rv-terranape-standee-back.png,                              core,       standees,    adversaries,   bursting terranape,                            x-###,   1
rv-urn-standee-front.png,                                   core,       standees,    adversaries,   urn,                                           x-###,   1
rv-urn-standee-back.png,                                    core,       standees,    adversaries,   urn,                                           x-###,   1
rv-urn-standee-front.png,                                   core,       standees,    adversaries,   urnlette,                                      x-###,   1
rv-urn-standee-back.png,                                    core,       standees,    adversaries,   urnlette,                                      x-###,   1
rv-uzem-standee-front.png,                                  core,       standees,    adversaries,   uzem,                                          x-###,   1
rv-uzem-standee-back.png,                                   core,       standees,    adversaries,   uzem,                                          x-###,   1
rv-uzem-standee-front.png,                                  core,       standees,    adversaries,   breath of uzem,                                x-###,   1
rv-uzem-standee-back.png,                                   core,       standees,    adversaries,   breath of uzem,                                x-###,   1
rv-uzem-standee-front.png,                                  core,       standees,    adversaries,   rage of uzem,                                  x-###,   1
rv-uzem-standee-back.png,                                   core,       standees,    adversaries,   rage of uzem,                                  x-###,   1
rv-uzem-standee-front.png,                                  core,       standees,    adversaries,   tears of uzem,                                 x-###,   1
rv-uzem-standee-back.png,                                   core,       standees,    adversaries,   tears of uzem,                                 x-###,   1
rv-uzem-standee-front.png,                                  core,       standees,    adversaries,   the king of storms,                            x-###,   1
rv-uzem-standee-back.png,                                   core,       standees,    adversaries,   the king of storms,                            x-###,   1
rv-wrathbone-standee-front.png,                             core,       standees,    adversaries,   wrathbone,                                     x-###,   1
rv-wrathbone-standee-back.png,                              core,       standees,    adversaries,   wrathbone,                                     x-###,   1
rv-zeepurah-standee-front.png,                              core,       standees,    adversaries,   zeepurah,                                      x-###,   1
rv-zeepurah-standee-back.png,                               core,       standees,    adversaries,   zeepurah,                                      x-###,   1
rv-zinix-standee-front.png,                                 core,       standees,    adversaries,   zinix,                                         x-###,   1
rv-zinix-standee-back.png,                                  core,       standees,    adversaries,   zinix,                                         x-###,   1
rv-zisafi-standee-front.png,                                core,       standees,    adversaries,   zisafi,                                        x-###,   1
rv-zisafi-standee-back.png,                                 core,       standees,    adversaries,   zisafi,                                        x-###,   1
rv-zisafi-standee-front.png,                                core,       standees,    adversaries,   zisafi principal,                              x-###,   1
rv-zisafi-standee-back.png,                                 core,       standees,    adversaries,   zisafi principal,                              x-###,   1
rv-zisafi-standee-front.png,                                core,       standees,    adversaries,   zisafi taskmaster,                             x-###,   1
rv-zisafi-standee-back.png,                                 core,       standees,    adversaries,   zisafi taskmaster,                             x-###,   1
rv-armored-xulc-standee-front.png,                          xulc,       standees,    adversaries,   armored Xulc,                                  x-###,   1
rv-armored-xulc-standee-back.png,                           xulc,       standees,    adversaries,   armored Xulc,                                  x-###,   1
rv-cleaving-xulc-standee-front.png,                         xulc,       standees,    adversaries,   cleaving Xulc,                                 x-###,   1
rv-cleaving-xulc-standee-back.png,                          xulc,       standees,    adversaries,   cleaving Xulc,                                 x-###,   1
rv-flying-xulc-standee-front.png,                           xulc,       standees,    adversaries,   flying Xulc,                                   x-###,   1
rv-flying-xulc-standee-back.png,                            xulc,       standees,    adversaries,   flying Xulc,                                   x-###,   1
rv-hastadilling-standee-front.png,                          xulc,       standees,    adversaries,   hastadilling,                                  x-###,   1
rv-hastadilling-standee-back.png,                           xulc,       standees,    adversaries,   hastadilling,                                  x-###,   1
rv-hastadilling-standee-front.png,                          xulc,       standees,    adversaries,   hastadilling Core,                             x-###,   1
rv-hastadilling-standee-back.png,                           xulc,       standees,    adversaries,   hastadilling Core,                             x-###,   1
rv-hastadilling-standee-front.png,                          xulc,       standees,    adversaries,   hastadilling headless,                         x-###,   1
rv-hastadilling-standee-back.png,                           xulc,       standees,    adversaries,   hastadilling headless,                         x-###,   1
rv-head-standee-front.png,                                  xulc,       standees,    adversaries,   head,                                          x-###,   1
rv-head-standee-back.png,                                   xulc,       standees,    adversaries,   head,                                          x-###,   1
rv-hunter-standee-front.png,                                xulc,       standees,    adversaries,   hunter,                                        x-###,   1
rv-hunter-standee-back.png,                                 xulc,       standees,    adversaries,   hunter,                                        x-###,   1
rv-nidus-standee-front.png,                                 xulc,       standees,    adversaries,   nidus,                                         x-###,   1
rv-nidus-standee-back.png,                                  xulc,       standees,    adversaries,   nidus,                                         x-###,   1
rv-nidus-standee-front.png,                                 xulc,       standees,    adversaries,   colony,                                        x-###,   1
rv-nidus-standee-back.png,                                  xulc,       standees,    adversaries,   colony,                                        x-###,   1
rv-prime-xulc-standee-front.png,                            xulc,       standees,    adversaries,   prime Xulc,                                    x-###,   1
rv-prime-xulc-standee-back.png,                             xulc,       standees,    adversaries,   prime Xulc,                                    x-###,   1
rv-prime-xulc-standee-front.png,                            xulc,       standees,    adversaries,   prime xulc brood matron,                       x-###,   1
rv-prime-xulc-standee-back.png,                             xulc,       standees,    adversaries,   prime xulc brood matron,                       x-###,   1
rv-prime-xulc-standee-front.png,                            xulc,       standees,    adversaries,   prime xulc deliverer,                          x-###,   1
rv-prime-xulc-standee-back.png,                             xulc,       standees,    adversaries,   prime xulc deliverer,                          x-###,   1
rv-prime-xulc-standee-front.png,                            xulc,       standees,    adversaries,   prime xulc dominator,                          x-###,   1
rv-prime-xulc-standee-back.png,                             xulc,       standees,    adversaries,   prime xulc dominator,                          x-###,   1
rv-regenerator-standee-front.png,                           xulc,       standees,    adversaries,   regenerator,                                   x-###,   1
rv-regenerator-standee-back.png,                            xulc,       standees,    adversaries,   regenerator,                                   x-###,   1
rv-stolen-urn-standee-front.png,                            xulc,       standees,    adversaries,   stolen urn,                                    x-###,   1
rv-stolen-urn-standee-back.png,                             xulc,       standees,    adversaries,   stolen urn,                                    x-###,   1
rv-undercarriage-standee-front.png,                         xulc,       standees,    adversaries,   undercarriage,                                 x-###,   1
rv-undercarriage-standee-back.png,                          xulc,       standees,    adversaries,   undercarriage,                                 x-###,   1
rv-hra-standee-front.png,                                   core,       standees,    allies,        hra,                                           x-###,   1
rv-hra-standee-back.png,                                    core,       standees,    allies,        hra,                                           x-###,   1
rv-ozendyn-standee-front.png,                               core,       standees,    allies,        ozendyn,                                       x-###,   1
rv-ozendyn-standee-back.png,                                core,       standees,    allies,        ozendyn,                                       x-###,   1
rv-aster-standee-front.png,                                 core,       standees,    classes,       aster standee,                                 x-###,   1
rv-aster-standee-back.png,                                  core,       standees,    classes,       aster standee,                                 x-###,   1
rv-canyon-temper-standee-front.png,                         core,       standees,    classes,       canyon temper standee,                         x-###,   1
rv-canyon-temper-standee-back.png,                          core,       standees,    classes,       canyon temper standee,                         x-###,   1
rv-conceptualist-standee-front.png,                         core,       standees,    classes,       conceptualist standee,                         x-###,   1
rv-conceptualist-standee-back.png,                          core,       standees,    classes,       conceptualist standee,                         x-###,   1
rv-dune-dancer-standee-front.png,                           core,       standees,    classes,       dune dancer standee,                           x-###,   1
rv-dune-dancer-standee-back.png,                            core,       standees,    classes,       dune dancer standee,                           x-###,   1
rv-flash-standee-front.png,                                 core,       standees,    classes,       flash standee,                                 x-###,   1
rv-flash-standee-back.png,                                  core,       standees,    classes,       flash standee,                                 x-###,   1
rv-helion-standee-front.png,                                core,       standees,    classes,       helion standee,                                x-###,   1
rv-helion-standee-back.png,                                 core,       standees,    classes,       helion standee,                                x-###,   1
rv-invisible-hand-standee-front.png,                        core,       standees,    classes,       invisible hand standee,                        x-###,   1
rv-invisible-hand-standee-back.png,                         core,       standees,    classes,       invisible hand standee,                        x-###,   1
rv-maximist-standee-front.png,                              core,       standees,    classes,       maximist standee,                              x-###,   1
rv-maximist-standee-back.png,                               core,       standees,    classes,       maximist standee,                              x-###,   1
rv-nocturne-hoarfrost-standee-front.png,                    core,       standees,    classes,       nocturne hoarfrost standee,                    x-###,   1
rv-nocturne-hoarfrost-standee-back.png,                     core,       standees,    classes,       nocturne hoarfrost standee,                    x-###,   1
rv-ridge-striker-standee-front.png,                         core,       standees,    classes,       ridge striker standee,                         x-###,   1
rv-ridge-striker-standee-back.png,                          core,       standees,    classes,       ridge striker standee,                         x-###,   1
rv-shadow-piercer-standee-front.png,                        core,       standees,    classes,       shadow piercer standee,                        x-###,   1
rv-shadow-piercer-standee-back.png,                         core,       standees,    classes,       shadow piercer standee,                        x-###,   1
rv-sophist-standee-front.png,                               core,       standees,    classes,       sophist standee,                               x-###,   1
rv-sophist-standee-back.png,                                core,       standees,    classes,       sophist standee,                               x-###,   1
rv-toll-bearer-standee-front.png,                           core,       standees,    classes,       toll bearer standee,                           x-###,   1
rv-toll-bearer-standee-back.png,                            core,       standees,    classes,       toll bearer standee,                           x-###,   1
rv-true-scale-standee-front.png,                            core,       standees,    classes,       true scale standee,                            x-###,   1
rv-true-scale-standee-back.png,                             core,       standees,    classes,       true scale standee,                            x-###,   1
rv-umbral-howl-standee-front.png,                           core,       standees,    classes,       umbral howl standee,                           x-###,   1
rv-umbral-howl-standee-back.png,                            core,       standees,    classes,       umbral howl standee,                           x-###,   1
rv-essentialist-standee-front.png,                          xulc,       standees,    classes,       essentialist standee,                          x-###,   1
rv-essentialist-standee-back.png,                           xulc,       standees,    classes,       essentialist standee,                          x-###,   1
rv-fierce-ransomer-standee-front.png,                       xulc,       standees,    classes,       fierce ransomer standee,                       x-###,   1
rv-fierce-ransomer-standee-back.png,                        xulc,       standees,    classes,       fierce ransomer standee,                       x-###,   1
